Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776013091,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776013092,5,,Aggregated,0.000000,0.000000,29,68,130,130,260,300,300,310,310,310,310,56,0,29,86.79513923250072,11.870917020132765,308.4832919994369,11910.732142857143
1776013093,10,,Aggregated,0.000000,0.000000,43,90,130,230,290,350,430,430,450,450,450,133,0,43,106.59268359335042,11.870917020132765,445.28583297505975,11184.33082706767
1776013094,10,,Aggregated,42.000000,0.000000,41,70,180,200,260,300,410,430,450,450,450,242,0,41,99.310649610976,11.870917020132765,445.28583297505975,11924.55785123967
1776013095,10,,Aggregated,55.000000,0.000000,40,67,170,190,240,290,350,420,450,450,450,370,0,40,93.2144743308576,11.870917020132765,445.28583297505975,12337.905405405405
1776013096,10,,Aggregated,75.666667,0.000000,40,61,150,180,220,260,310,390,450,450,450,506,0,40,87.33535038027544,11.870917020132765,445.28583297505975,11953.166007905138
1776013097,10,,Aggregated,87.750000,0.000000,40,58,130,170,210,260,300,380,450,450,450,657,0,40,82.53311244829358,11.870917020132765,445.28583297505975,11440.963470319635
1776013098,10,,Aggregated,97.200000,0.000000,39,60,140,170,200,240,300,350,450,450,450,788,0,39,81.51174582399754,11.870917020132765,445.28583297505975,11619.590101522843
1776013099,10,,Aggregated,105.333333,0.000000,39,58,130,170,200,230,300,330,450,450,450,939,0,39,79.21950674364248,11.870917020132765,445.28583297505975,11444.904153354633
1776013100,10,,Aggregated,109.571429,0.000000,39,60,130,170,200,230,290,320,430,450,450,1063,0,39,79.34565721774585,11.870917020132765,445.28583297505975,11577.7347130762
1776013101,10,,Aggregated,113.750000,0.000000,38,60,140,170,200,230,300,330,430,450,450,1183,0,38,79.81380659797357,11.870917020132765,445.28583297505975,11557.218089602706
1776013102,10,,Aggregated,116.222222,0.000000,38,60,140,170,200,230,300,330,430,450,450,1307,0,38,79.36671521689588,11.870917020132765,445.28583297505975,11505.33129303749
1776013103,10,,Aggregated,116.100000,0.000000,38,60,130,170,200,230,290,330,430,450,450,1454,0,38,78.77273899549891,11.870917020132765,445.28583297505975,11484.899587345255
1776013104,10,,Aggregated,125.100000,0.000000,38,59,130,170,200,230,290,330,430,450,450,1589,0,38,78.46026117282263,11.870917020132765,445.28583297505975,11470.122718691
1776013105,10,,Aggregated,131.300000,0.000000,37,58,130,160,190,220,290,320,430,450,450,1727,0,37,77.61425892792447,11.870917020132765,445.28583297505975,11378.45280833816
1776013106,10,,Aggregated,133.400000,0.000000,37,58,130,160,190,220,290,320,430,450,450,1871,0,37,77.16930850696681,11.870917020132765,445.28583297505975,11366.676109032604
1776013107,10,,Aggregated,135.700000,0.000000,38,60,130,160,190,230,290,310,430,450,450,1983,0,38,77.80731245309427,11.870917020132765,445.28583297505975,11563.51134644478
1776013108,10,,Aggregated,135.600000,0.000000,37,60,130,160,190,220,280,310,430,450,450,2141,0,37,76.84307964144843,11.870917020132765,445.28583297505975,11408.051377860813
